class,width,height,path
basil,283,622,/media/512GB_ext/preprocesed_dataset/basil/30579_S.png
basil,225,325,/media/512GB_ext/preprocesed_dataset/basil/30622_S.png
basil,284,645,/media/512GB_ext/preprocesed_dataset/basil/30647_S.png
basil,228,348,/media/512GB_ext/preprocesed_dataset/basil/30654_S.png
basil,185,520,/media/512GB_ext/preprocesed_dataset/basil/30689_T.png
basil,240,315,/media/512GB_ext/preprocesed_dataset/basil/30736_S.png
basil,247,340,/media/512GB_ext/preprocesed_dataset/basil/30787_S.png
basil,278,547,/media/512GB_ext/preprocesed_dataset/basil/30790_B.png
basil,286,548,/media/512GB_ext/preprocesed_dataset/basil/30810_B.png
basil,286,578,/media/512GB_ext/preprocesed_dataset/basil/30824_S.png
basil,304,535,/media/512GB_ext/preprocesed_dataset/basil/30853_B.png
basil,185,543,/media/512GB_ext/preprocesed_dataset/basil/30878_B.png
basil,284,677,/media/512GB_ext/preprocesed_dataset/basil/30878_S.png
basil,225,314,/media/512GB_ext/preprocesed_dataset/basil/30910_S.png
basil,280,532,/media/512GB_ext/preprocesed_dataset/basil/30915_B.png
basil,256,350,/media/512GB_ext/preprocesed_dataset/basil/30951_S.png
basil,241,338,/media/512GB_ext/preprocesed_dataset/basil/30962_S.png
basil,267,751,/media/512GB_ext/preprocesed_dataset/basil/30968_S.png
basil,277,532,/media/512GB_ext/preprocesed_dataset/basil/30995_B.png
basil,279,490,/media/512GB_ext/preprocesed_dataset/basil/31000_S.png
basil,250,318,/media/512GB_ext/preprocesed_dataset/basil/31004_S.png
basil,279,679,/media/512GB_ext/preprocesed_dataset/basil/31005_S.png
basil,179,519,/media/512GB_ext/preprocesed_dataset/basil/31060_B.png
basil,283,667,/media/512GB_ext/preprocesed_dataset/basil/31060_S.png
basil,182,526,/media/512GB_ext/preprocesed_dataset/basil/31060_T.png
basil,279,551,/media/512GB_ext/preprocesed_dataset/basil/31062_B.png
basil,283,674,/media/512GB_ext/preprocesed_dataset/basil/30995_S.png
basil,251,313,/media/512GB_ext/preprocesed_dataset/basil/31078_S.png
basil,281,505,/media/512GB_ext/preprocesed_dataset/basil/31137_B.png
basil,283,566,/media/512GB_ext/preprocesed_dataset/basil/31214_B.png
basil,279,528,/media/512GB_ext/preprocesed_dataset/basil/31238_B.png
basil,284,655,/media/512GB_ext/preprocesed_dataset/basil/31307_S.png
basil,174,549,/media/512GB_ext/preprocesed_dataset/basil/31319_B.png
basil,176,557,/media/512GB_ext/preprocesed_dataset/basil/31319_T.png
basil,240,818,/media/512GB_ext/preprocesed_dataset/basil/31237_S.png
basil,281,539,/media/512GB_ext/preprocesed_dataset/basil/31344_B.png
basil,292,544,/media/512GB_ext/preprocesed_dataset/basil/31373_B.png
basil,240,359,/media/512GB_ext/preprocesed_dataset/basil/31416_S.png
basil,243,331,/media/512GB_ext/preprocesed_dataset/basil/31433_S.png
basil,278,691,/media/512GB_ext/preprocesed_dataset/basil/31455_S.png
basil,278,652,/media/512GB_ext/preprocesed_dataset/basil/31456_S.png
basil,183,515,/media/512GB_ext/preprocesed_dataset/basil/31456_T.png
basil,247,357,/media/512GB_ext/preprocesed_dataset/basil/31466_S.png
basil,171,536,/media/512GB_ext/preprocesed_dataset/basil/31522_B.png
basil,173,542,/media/512GB_ext/preprocesed_dataset/basil/31522_T.png
basil,281,564,/media/512GB_ext/preprocesed_dataset/basil/31534_B.png
basil,291,532,/media/512GB_ext/preprocesed_dataset/basil/31555_B.png
basil,183,496,/media/512GB_ext/preprocesed_dataset/basil/31573_B.png
basil,181,500,/media/512GB_ext/preprocesed_dataset/basil/31573_T.png
basil,249,317,/media/512GB_ext/preprocesed_dataset/basil/31611_S.png
basil,224,335,/media/512GB_ext/preprocesed_dataset/basil/31659_S.png
basil,260,354,/media/512GB_ext/preprocesed_dataset/basil/31686_S.png
basil,254,352,/media/512GB_ext/preprocesed_dataset/basil/31722_S.png
basil,287,683,/media/512GB_ext/preprocesed_dataset/basil/31794_S.png
basil,243,315,/media/512GB_ext/preprocesed_dataset/basil/31798_S.png
basil,285,569,/media/512GB_ext/preprocesed_dataset/basil/31800_S.png
basil,241,330,/media/512GB_ext/preprocesed_dataset/basil/31831_S.png
basil,234,846,/media/512GB_ext/preprocesed_dataset/basil/31834_B.png
basil,183,517,/media/512GB_ext/preprocesed_dataset/basil/31840_B.png
basil,178,521,/media/512GB_ext/preprocesed_dataset/basil/31840_T.png
basil,282,563,/media/512GB_ext/preprocesed_dataset/basil/31852_S.png
basil,280,673,/media/512GB_ext/preprocesed_dataset/basil/31853_S.png
basil,282,527,/media/512GB_ext/preprocesed_dataset/basil/31862_B.png
basil,278,613,/media/512GB_ext/preprocesed_dataset/basil/31863_S.png
basil,277,665,/media/512GB_ext/preprocesed_dataset/basil/31870_S.png
basil,292,532,/media/512GB_ext/preprocesed_dataset/basil/31882_B.png
basil,241,322,/media/512GB_ext/preprocesed_dataset/basil/31944_S.png
basil,229,752,/media/512GB_ext/preprocesed_dataset/basil/32001_S.png
basil,186,533,/media/512GB_ext/preprocesed_dataset/basil/32037_B.png
basil,285,682,/media/512GB_ext/preprocesed_dataset/basil/32037_S.png
basil,237,313,/media/512GB_ext/preprocesed_dataset/basil/32087_S.png
basil,231,359,/media/512GB_ext/preprocesed_dataset/basil/32126_S.png
basil,247,312,/media/512GB_ext/preprocesed_dataset/basil/32171_S.png
basil,302,534,/media/512GB_ext/preprocesed_dataset/basil/32210_B.png
basil,259,349,/media/512GB_ext/preprocesed_dataset/basil/32195_S.png
basil,298,539,/media/512GB_ext/preprocesed_dataset/basil/32259_B.png
basil,224,332,/media/512GB_ext/preprocesed_dataset/basil/32346_S.png
basil,237,325,/media/512GB_ext/preprocesed_dataset/basil/32404_S.png
basil,277,559,/media/512GB_ext/preprocesed_dataset/basil/32408_T.png
basil,220,788,/media/512GB_ext/preprocesed_dataset/basil/32411_S.png
basil,281,643,/media/512GB_ext/preprocesed_dataset/basil/32412_S.png
basil,226,361,/media/512GB_ext/preprocesed_dataset/basil/32426_S.png
basil,251,359,/media/512GB_ext/preprocesed_dataset/basil/32450_S.png
basil,288,594,/media/512GB_ext/preprocesed_dataset/basil/32451_S.png
basil,281,552,/media/512GB_ext/preprocesed_dataset/basil/32480_B.png
basil,278,526,/media/512GB_ext/preprocesed_dataset/basil/32486_B.png
basil,277,678,/media/512GB_ext/preprocesed_dataset/basil/32525_S.png
basil,243,313,/media/512GB_ext/preprocesed_dataset/basil/32546_S.png
basil,281,651,/media/512GB_ext/preprocesed_dataset/basil/32557_S.png
basil,282,675,/media/512GB_ext/preprocesed_dataset/basil/32598_S.png
basil,240,344,/media/512GB_ext/preprocesed_dataset/basil/32615_S.png
basil,251,769,/media/512GB_ext/preprocesed_dataset/basil/32616_S.png
basil,236,755,/media/512GB_ext/preprocesed_dataset/basil/32625_S.png
basil,284,572,/media/512GB_ext/preprocesed_dataset/basil/32665_S.png
basil,227,306,/media/512GB_ext/preprocesed_dataset/basil/32667_S.png
basil,246,326,/media/512GB_ext/preprocesed_dataset/basil/32717_S.png
basil,230,333,/media/512GB_ext/preprocesed_dataset/basil/32720_S.png
basil,277,606,/media/512GB_ext/preprocesed_dataset/basil/32749_S.png
