class,width,height,path
basil,273,758,/media/512GB_ext/preprocesed_dataset/basil/30570_S.png
basil,286,676,/media/512GB_ext/preprocesed_dataset/basil/30578_S.png
basil,283,622,/media/512GB_ext/preprocesed_dataset/basil/30579_S.png
basil,234,290,/media/512GB_ext/preprocesed_dataset/basil/30583_S.png
basil,273,780,/media/512GB_ext/preprocesed_dataset/basil/30596_S.png
basil,253,325,/media/512GB_ext/preprocesed_dataset/basil/30598_S.png
basil,334,515,/media/512GB_ext/preprocesed_dataset/basil/30613_S.png
basil,225,325,/media/512GB_ext/preprocesed_dataset/basil/30622_S.png
basil,284,645,/media/512GB_ext/preprocesed_dataset/basil/30647_S.png
basil,243,306,/media/512GB_ext/preprocesed_dataset/basil/30650_B.png
basil,247,305,/media/512GB_ext/preprocesed_dataset/basil/30650_T.png
basil,228,348,/media/512GB_ext/preprocesed_dataset/basil/30654_S.png
basil,280,712,/media/512GB_ext/preprocesed_dataset/basil/30656_S.png
basil,260,323,/media/512GB_ext/preprocesed_dataset/basil/30661_S.png
basil,292,519,/media/512GB_ext/preprocesed_dataset/basil/30674_S.png
basil,185,520,/media/512GB_ext/preprocesed_dataset/basil/30689_T.png
basil,218,319,/media/512GB_ext/preprocesed_dataset/basil/30701_B.png
basil,235,276,/media/512GB_ext/preprocesed_dataset/basil/30701_S.png
basil,221,315,/media/512GB_ext/preprocesed_dataset/basil/30701_T.png
basil,282,725,/media/512GB_ext/preprocesed_dataset/basil/30709_S.png
basil,240,315,/media/512GB_ext/preprocesed_dataset/basil/30736_S.png
basil,291,568,/media/512GB_ext/preprocesed_dataset/basil/30757_S.png
basil,280,731,/media/512GB_ext/preprocesed_dataset/basil/30764_S.png
basil,247,340,/media/512GB_ext/preprocesed_dataset/basil/30787_S.png
basil,295,668,/media/512GB_ext/preprocesed_dataset/basil/30788_S.png
basil,225,264,/media/512GB_ext/preprocesed_dataset/basil/30796_S.png
basil,268,333,/media/512GB_ext/preprocesed_dataset/basil/30809_S.png
basil,286,548,/media/512GB_ext/preprocesed_dataset/basil/30810_B.png
basil,242,322,/media/512GB_ext/preprocesed_dataset/basil/30820_B.png
basil,240,288,/media/512GB_ext/preprocesed_dataset/basil/30785_S.png
basil,246,321,/media/512GB_ext/preprocesed_dataset/basil/30820_T.png
basil,286,578,/media/512GB_ext/preprocesed_dataset/basil/30824_S.png
basil,296,613,/media/512GB_ext/preprocesed_dataset/basil/30828_S.png
basil,304,535,/media/512GB_ext/preprocesed_dataset/basil/30853_B.png
basil,266,317,/media/512GB_ext/preprocesed_dataset/basil/30865_S.png
basil,250,295,/media/512GB_ext/preprocesed_dataset/basil/30877_S.png
basil,185,543,/media/512GB_ext/preprocesed_dataset/basil/30878_B.png
basil,284,677,/media/512GB_ext/preprocesed_dataset/basil/30878_S.png
basil,236,282,/media/512GB_ext/preprocesed_dataset/basil/30885_S.png
basil,270,327,/media/512GB_ext/preprocesed_dataset/basil/30900_S.png
basil,225,314,/media/512GB_ext/preprocesed_dataset/basil/30910_S.png
basil,280,532,/media/512GB_ext/preprocesed_dataset/basil/30915_B.png
basil,241,890,/media/512GB_ext/preprocesed_dataset/basil/30940_S.png
basil,256,350,/media/512GB_ext/preprocesed_dataset/basil/30951_S.png
basil,241,338,/media/512GB_ext/preprocesed_dataset/basil/30962_S.png
basil,180,552,/media/512GB_ext/preprocesed_dataset/basil/30983_B.png
basil,176,560,/media/512GB_ext/preprocesed_dataset/basil/30983_T.png
basil,279,490,/media/512GB_ext/preprocesed_dataset/basil/31000_S.png
basil,250,318,/media/512GB_ext/preprocesed_dataset/basil/31004_S.png
basil,279,679,/media/512GB_ext/preprocesed_dataset/basil/31005_S.png
basil,260,343,/media/512GB_ext/preprocesed_dataset/basil/31031_S.png
basil,215,301,/media/512GB_ext/preprocesed_dataset/basil/31033_S.png
basil,295,690,/media/512GB_ext/preprocesed_dataset/basil/31048_S.png
basil,231,245,/media/512GB_ext/preprocesed_dataset/basil/31051_B.png
basil,236,242,/media/512GB_ext/preprocesed_dataset/basil/31051_T.png
basil,294,691,/media/512GB_ext/preprocesed_dataset/basil/31057_S.png
basil,179,519,/media/512GB_ext/preprocesed_dataset/basil/31060_B.png
basil,283,667,/media/512GB_ext/preprocesed_dataset/basil/31060_S.png
basil,182,526,/media/512GB_ext/preprocesed_dataset/basil/31060_T.png
basil,279,551,/media/512GB_ext/preprocesed_dataset/basil/31062_B.png
basil,234,1023,/media/512GB_ext/preprocesed_dataset/basil/30946_S.png
basil,283,674,/media/512GB_ext/preprocesed_dataset/basil/30995_S.png
basil,240,294,/media/512GB_ext/preprocesed_dataset/basil/31051_S.png
basil,251,313,/media/512GB_ext/preprocesed_dataset/basil/31078_S.png
basil,249,295,/media/512GB_ext/preprocesed_dataset/basil/31083_S.png
basil,223,302,/media/512GB_ext/preprocesed_dataset/basil/31095_B.png
basil,222,298,/media/512GB_ext/preprocesed_dataset/basil/31095_T.png
basil,293,493,/media/512GB_ext/preprocesed_dataset/basil/31119_B.png
basil,241,965,/media/512GB_ext/preprocesed_dataset/basil/31119_S.png
basil,290,492,/media/512GB_ext/preprocesed_dataset/basil/31119_T.png
basil,288,738,/media/512GB_ext/preprocesed_dataset/basil/31133_S.png
basil,281,505,/media/512GB_ext/preprocesed_dataset/basil/31137_B.png
basil,236,288,/media/512GB_ext/preprocesed_dataset/basil/31139_S.png
basil,291,707,/media/512GB_ext/preprocesed_dataset/basil/31186_S.png
basil,235,305,/media/512GB_ext/preprocesed_dataset/basil/31114_S.png
basil,283,566,/media/512GB_ext/preprocesed_dataset/basil/31214_B.png
basil,259,982,/media/512GB_ext/preprocesed_dataset/basil/31228_S.png
basil,279,528,/media/512GB_ext/preprocesed_dataset/basil/31238_B.png
basil,274,805,/media/512GB_ext/preprocesed_dataset/basil/31264_S.png
basil,279,710,/media/512GB_ext/preprocesed_dataset/basil/31296_S.png
basil,281,755,/media/512GB_ext/preprocesed_dataset/basil/31297_S.png
basil,264,335,/media/512GB_ext/preprocesed_dataset/basil/31299_S.png
basil,284,655,/media/512GB_ext/preprocesed_dataset/basil/31307_S.png
basil,244,304,/media/512GB_ext/preprocesed_dataset/basil/31308_S.png
basil,259,320,/media/512GB_ext/preprocesed_dataset/basil/31313_S.png
basil,174,549,/media/512GB_ext/preprocesed_dataset/basil/31319_B.png
basil,176,557,/media/512GB_ext/preprocesed_dataset/basil/31319_T.png
basil,262,909,/media/512GB_ext/preprocesed_dataset/basil/31198_S.png
basil,240,818,/media/512GB_ext/preprocesed_dataset/basil/31237_S.png
basil,281,539,/media/512GB_ext/preprocesed_dataset/basil/31344_B.png
basil,242,1003,/media/512GB_ext/preprocesed_dataset/basil/31351_S.png
basil,245,985,/media/512GB_ext/preprocesed_dataset/basil/31371_S.png
basil,261,326,/media/512GB_ext/preprocesed_dataset/basil/31372_S.png
basil,292,544,/media/512GB_ext/preprocesed_dataset/basil/31373_B.png
basil,247,286,/media/512GB_ext/preprocesed_dataset/basil/31399_S.png
basil,312,551,/media/512GB_ext/preprocesed_dataset/basil/31406_S.png
basil,240,359,/media/512GB_ext/preprocesed_dataset/basil/31416_S.png
basil,228,900,/media/512GB_ext/preprocesed_dataset/basil/31418_S.png
basil,237,947,/media/512GB_ext/preprocesed_dataset/basil/31425_S.png
basil,243,331,/media/512GB_ext/preprocesed_dataset/basil/31433_S.png
basil,183,515,/media/512GB_ext/preprocesed_dataset/basil/31456_T.png
basil,247,357,/media/512GB_ext/preprocesed_dataset/basil/31466_S.png
basil,231,994,/media/512GB_ext/preprocesed_dataset/basil/31468_S.png
basil,250,319,/media/512GB_ext/preprocesed_dataset/basil/31471_B.png
basil,242,317,/media/512GB_ext/preprocesed_dataset/basil/31471_S.png
basil,253,323,/media/512GB_ext/preprocesed_dataset/basil/31471_T.png
basil,284,663,/media/512GB_ext/preprocesed_dataset/basil/31502_S.png
basil,255,303,/media/512GB_ext/preprocesed_dataset/basil/31515_S.png
basil,293,703,/media/512GB_ext/preprocesed_dataset/basil/31521_S.png
basil,171,536,/media/512GB_ext/preprocesed_dataset/basil/31522_B.png
basil,173,542,/media/512GB_ext/preprocesed_dataset/basil/31522_T.png
basil,267,333,/media/512GB_ext/preprocesed_dataset/basil/31524_S.png
basil,266,756,/media/512GB_ext/preprocesed_dataset/basil/31531_S.png
basil,281,564,/media/512GB_ext/preprocesed_dataset/basil/31534_B.png
basil,290,713,/media/512GB_ext/preprocesed_dataset/basil/31539_S.png
basil,291,532,/media/512GB_ext/preprocesed_dataset/basil/31555_B.png
basil,248,297,/media/512GB_ext/preprocesed_dataset/basil/31559_S.png
basil,183,496,/media/512GB_ext/preprocesed_dataset/basil/31573_B.png
basil,181,500,/media/512GB_ext/preprocesed_dataset/basil/31573_T.png
basil,238,968,/media/512GB_ext/preprocesed_dataset/basil/31576_S.png
basil,256,303,/media/512GB_ext/preprocesed_dataset/basil/31577_S.png
basil,228,928,/media/512GB_ext/preprocesed_dataset/basil/31582_S.png
basil,281,727,/media/512GB_ext/preprocesed_dataset/basil/31592_S.png
basil,307,655,/media/512GB_ext/preprocesed_dataset/basil/31604_S.png
basil,249,317,/media/512GB_ext/preprocesed_dataset/basil/31611_S.png
basil,282,705,/media/512GB_ext/preprocesed_dataset/basil/31626_S.png
basil,224,335,/media/512GB_ext/preprocesed_dataset/basil/31659_S.png
basil,260,354,/media/512GB_ext/preprocesed_dataset/basil/31686_S.png
basil,257,301,/media/512GB_ext/preprocesed_dataset/basil/31692_S.png
basil,246,1034,/media/512GB_ext/preprocesed_dataset/basil/31697_S.png
basil,236,947,/media/512GB_ext/preprocesed_dataset/basil/31707_S.png
basil,245,289,/media/512GB_ext/preprocesed_dataset/basil/31586_S.png
basil,298,634,/media/512GB_ext/preprocesed_dataset/basil/31600_S.png
basil,259,314,/media/512GB_ext/preprocesed_dataset/basil/31718_S.png
basil,254,352,/media/512GB_ext/preprocesed_dataset/basil/31722_S.png
basil,296,591,/media/512GB_ext/preprocesed_dataset/basil/31738_S.png
basil,289,490,/media/512GB_ext/preprocesed_dataset/basil/31753_S.png
basil,255,313,/media/512GB_ext/preprocesed_dataset/basil/31760_S.png
basil,292,501,/media/512GB_ext/preprocesed_dataset/basil/31772_S.png
basil,251,293,/media/512GB_ext/preprocesed_dataset/basil/31779_S.png
basil,287,683,/media/512GB_ext/preprocesed_dataset/basil/31794_S.png
basil,243,315,/media/512GB_ext/preprocesed_dataset/basil/31798_S.png
basil,285,569,/media/512GB_ext/preprocesed_dataset/basil/31800_S.png
basil,241,330,/media/512GB_ext/preprocesed_dataset/basil/31831_S.png
basil,234,846,/media/512GB_ext/preprocesed_dataset/basil/31834_B.png
basil,306,524,/media/512GB_ext/preprocesed_dataset/basil/31837_B.png
basil,183,517,/media/512GB_ext/preprocesed_dataset/basil/31840_B.png
basil,178,521,/media/512GB_ext/preprocesed_dataset/basil/31840_T.png
basil,282,563,/media/512GB_ext/preprocesed_dataset/basil/31852_S.png
basil,280,673,/media/512GB_ext/preprocesed_dataset/basil/31853_S.png
basil,232,279,/media/512GB_ext/preprocesed_dataset/basil/31857_S.png
basil,282,527,/media/512GB_ext/preprocesed_dataset/basil/31862_B.png
basil,249,310,/media/512GB_ext/preprocesed_dataset/basil/31878_S.png
basil,295,685,/media/512GB_ext/preprocesed_dataset/basil/31881_S.png
basil,292,532,/media/512GB_ext/preprocesed_dataset/basil/31882_B.png
basil,280,398,/media/512GB_ext/preprocesed_dataset/basil/31886_S.png
basil,234,300,/media/512GB_ext/preprocesed_dataset/basil/31906_S.png
basil,258,315,/media/512GB_ext/preprocesed_dataset/basil/31907_S.png
basil,249,963,/media/512GB_ext/preprocesed_dataset/basil/31930_S.png
basil,283,710,/media/512GB_ext/preprocesed_dataset/basil/31932_S.png
basil,241,322,/media/512GB_ext/preprocesed_dataset/basil/31944_S.png
basil,234,982,/media/512GB_ext/preprocesed_dataset/basil/31949_S.png
basil,236,1038,/media/512GB_ext/preprocesed_dataset/basil/31960_S.png
basil,217,296,/media/512GB_ext/preprocesed_dataset/basil/31973_S.png
basil,244,1003,/media/512GB_ext/preprocesed_dataset/basil/31974_S.png
basil,264,326,/media/512GB_ext/preprocesed_dataset/basil/32017_S.png
