Directory,Filename,Width,Height
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01696_T.png,01696_T.png,255,620
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01695_T.png,01695_T.png,240,588
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01696_B.png,01696_B.png,250,621
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01695_B.png,01695_B.png,238,592
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01697_T.png,01697_T.png,266,584
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01697_B.png,01697_B.png,263,583
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01698_T.png,01698_T.png,227,528
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01698_B.png,01698_B.png,224,526
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01699_T.png,01699_T.png,245,486
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01699_B.png,01699_B.png,241,480
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01700_B.png,01700_B.png,235,558
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01700_T.png,01700_T.png,238,560
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01701_B.png,01701_B.png,227,506
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01702_B.png,01702_B.png,224,478
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01703_B.png,01703_B.png,243,517
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01702_T.png,01702_T.png,224,482
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01704_T.png,01704_T.png,251,535
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01703_T.png,01703_T.png,242,520
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01705_B.png,01705_B.png,223,488
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01704_B.png,01704_B.png,249,531
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01705_T.png,01705_T.png,194,497
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01707_B.png,01707_B.png,222,576
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01706_B.png,01706_B.png,244,519
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01706_T.png,01706_T.png,244,523
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01707_T.png,01707_T.png,225,588
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01708_B.png,01708_B.png,233,527
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01709_B.png,01709_B.png,281,854
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01709_T.png,01709_T.png,235,471
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01711_T.png,01711_T.png,236,542
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01710_T.png,01710_T.png,233,509
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01710_B.png,01710_B.png,233,508
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01711_B.png,01711_B.png,233,535
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01712_B.png,01712_B.png,228,471
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01712_T.png,01712_T.png,230,478
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01714_T.png,01714_T.png,224,493
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01713_B.png,01713_B.png,249,493
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01713_T.png,01713_T.png,254,499
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01715_B.png,01715_B.png,244,528
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01714_B.png,01714_B.png,221,489
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01716_B.png,01716_B.png,307,590
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01717_B.png,01717_B.png,231,471
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01716_T.png,01716_T.png,274,602
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01717_T.png,01717_T.png,233,473
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01718_B.png,01718_B.png,241,542
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01718_T.png,01718_T.png,239,542
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01720_B.png,01720_B.png,250,500
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01719_T.png,01719_T.png,272,562
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01719_B.png,01719_B.png,276,554
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01721_B.png,01721_B.png,241,560
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01721_T.png,01721_T.png,246,569
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01720_T.png,01720_T.png,252,507
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01723_B.png,01723_B.png,263,515
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01722_B.png,01722_B.png,238,562
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01723_T.png,01723_T.png,264,521
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01726_T.png,01726_T.png,240,521
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01724_T.png,01724_T.png,267,565
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01726_B.png,01726_B.png,237,508
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01724_B.png,01724_B.png,266,563
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01727_T.png,01727_T.png,241,554
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01725_T.png,01725_T.png,272,551
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01725_B.png,01725_B.png,262,547
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01727_B.png,01727_B.png,239,545
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01728_T.png,01728_T.png,206,468
/media/512GB_ext/DATASET_ziarna/ziarna_zdrowe/01729_B.png,01729_B.png,249,549
