epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1
1,1.9045,1.5733,0.2879,0.4584,0.2786,0.4592,0.2879,0.4584,0.2804,0.4400
2,1.2022,1.1351,0.5594,0.6688,0.5543,0.6705,0.5594,0.6688,0.5535,0.6624
3,0.7769,0.8067,0.7311,0.7814,0.7294,0.8028,0.7311,0.7814,0.7295,0.7804
4,0.5478,0.7974,0.8184,0.8136,0.8181,0.8190,0.8184,0.8136,0.8181,0.8123
5,0.4333,0.6502,0.8576,0.8650,0.8573,0.8761,0.8576,0.8650,0.8574,0.8656
6,0.3592,0.5785,0.8827,0.8918,0.8826,0.8975,0.8827,0.8918,0.8826,0.8915
7,0.3168,0.6139,0.8977,0.8933,0.8976,0.8981,0.8977,0.8933,0.8976,0.8933
8,0.2781,0.6132,0.9098,0.8985,0.9098,0.9026,0.9098,0.8985,0.9097,0.8985
9,0.2514,0.6453,0.9189,0.8788,0.9189,0.8921,0.9189,0.8788,0.9189,0.8808
10,0.2297,0.4933,0.9249,0.9221,0.9249,0.9252,0.9249,0.9221,0.9249,0.9222
11,0.2118,0.5605,0.9326,0.9147,0.9326,0.9195,0.9326,0.9147,0.9326,0.9150
12,0.1921,0.5958,0.9391,0.9108,0.9391,0.9168,0.9391,0.9108,0.9391,0.9114
13,0.1831,0.5117,0.9429,0.9059,0.9429,0.9144,0.9429,0.9059,0.9429,0.9062
14,0.1702,0.4057,0.9453,0.9246,0.9453,0.9268,0.9453,0.9246,0.9453,0.9243
15,0.1612,0.4084,0.9494,0.9352,0.9494,0.9367,0.9494,0.9352,0.9494,0.9348
16,0.1582,0.5419,0.9516,0.9293,0.9516,0.9320,0.9516,0.9293,0.9516,0.9293
17,0.1461,0.5367,0.9536,0.9309,0.9536,0.9345,0.9536,0.9309,0.9536,0.9310
18,0.1360,0.5623,0.9575,0.9382,0.9575,0.9405,0.9575,0.9382,0.9575,0.9382
19,0.1310,0.5910,0.9597,0.9310,0.9598,0.9340,0.9597,0.9310,0.9597,0.9307
