epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1
1,1.6726,4.1519,0.3826,0.2510,0.3685,0.3342,0.3826,0.2510,0.3723,0.2169
2,0.8187,1.4381,0.7260,0.6588,0.7234,0.7454,0.7260,0.6588,0.7242,0.6427
3,0.5215,1.4314,0.8355,0.6689,0.8350,0.8045,0.8355,0.6689,0.8351,0.6739
4,0.3857,0.7478,0.8807,0.8307,0.8805,0.8563,0.8807,0.8307,0.8805,0.8284
5,0.3127,1.0036,0.9016,0.7601,0.9016,0.8392,0.9016,0.7601,0.9015,0.7688
6,0.2584,2.4183,0.9186,0.6030,0.9186,0.7497,0.9186,0.6030,0.9186,0.5578
7,0.2182,0.4693,0.9325,0.9043,0.9325,0.9089,0.9325,0.9043,0.9325,0.9037
8,0.1866,0.5623,0.9426,0.8932,0.9426,0.9017,0.9426,0.8932,0.9426,0.8932
9,0.1601,0.4266,0.9503,0.9192,0.9503,0.9228,0.9503,0.9192,0.9503,0.9191
10,0.1425,0.3807,0.9565,0.9355,0.9565,0.9377,0.9565,0.9355,0.9565,0.9353
11,0.1236,0.4309,0.9622,0.9343,0.9623,0.9367,0.9622,0.9343,0.9622,0.9343
12,0.1104,0.7064,0.9665,0.8826,0.9665,0.9017,0.9665,0.8826,0.9665,0.8844
13,0.0968,0.4081,0.9699,0.9376,0.9699,0.9393,0.9699,0.9376,0.9699,0.9375
14,0.0890,1.0016,0.9731,0.8252,0.9731,0.8828,0.9731,0.8252,0.9731,0.8345
15,0.0794,0.7539,0.9760,0.8945,0.9760,0.9090,0.9760,0.8945,0.9760,0.8926
