epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1
1,0.4640,0.3816,0.8469,0.8838,0.8466,0.8986,0.8469,0.8838,0.8466,0.8857
2,0.2116,0.6414,0.9328,0.8446,0.9327,0.8714,0.9328,0.8446,0.9327,0.8436
3,0.1627,0.5855,0.9491,0.8746,0.9491,0.9065,0.9491,0.8746,0.9491,0.8789
4,0.1376,0.6349,0.9568,0.8740,0.9568,0.8956,0.9568,0.8740,0.9568,0.8730
5,0.1169,0.3266,0.9632,0.9480,0.9632,0.9510,0.9632,0.9480,0.9632,0.9484
6,0.1049,0.4299,0.9665,0.9181,0.9665,0.9264,0.9665,0.9181,0.9665,0.9178
7,0.0940,0.4737,0.9698,0.9140,0.9698,0.9187,0.9698,0.9140,0.9698,0.9142
8,0.0863,0.8139,0.9725,0.8689,0.9725,0.8969,0.9725,0.8689,0.9725,0.8650
9,0.0816,0.4603,0.9756,0.8989,0.9756,0.9120,0.9756,0.8989,0.9756,0.9002
10,0.0736,0.3752,0.9774,0.9484,0.9774,0.9498,0.9774,0.9484,0.9774,0.9483
