epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1
1,1.9983,2.0327,0.2519,0.3197,0.2357,0.3486,0.2519,0.3197,0.2386,0.3070
2,1.3078,0.9317,0.5338,0.7187,0.5239,0.7412,0.5338,0.7187,0.5245,0.7202
3,0.8389,1.3519,0.7234,0.6302,0.7235,0.7391,0.7234,0.6302,0.7230,0.6280
4,0.6008,0.5079,0.8095,0.8649,0.8101,0.8739,0.8095,0.8649,0.8094,0.8668
5,0.4556,0.4739,0.8614,0.8695,0.8618,0.8804,0.8614,0.8695,0.8613,0.8701
6,0.3624,0.4218,0.8915,0.8906,0.8918,0.9013,0.8915,0.8906,0.8915,0.8919
7,0.2994,0.7502,0.9103,0.7966,0.9105,0.8435,0.9103,0.7966,0.9103,0.8049
8,0.2537,0.5445,0.9261,0.8685,0.9263,0.8905,0.9261,0.8685,0.9261,0.8720
9,0.2118,0.2947,0.9376,0.9260,0.9377,0.9296,0.9376,0.9260,0.9376,0.9263
10,0.1824,0.3346,0.9467,0.9256,0.9468,0.9286,0.9467,0.9256,0.9467,0.9258
11,0.1595,0.3874,0.9549,0.9074,0.9550,0.9138,0.9549,0.9074,0.9549,0.9076
12,0.1382,0.3430,0.9586,0.9284,0.9586,0.9312,0.9586,0.9284,0.9586,0.9287
13,0.1183,0.3428,0.9655,0.9323,0.9655,0.9338,0.9655,0.9323,0.9655,0.9323
14,0.1076,1.6927,0.9680,0.7074,0.9680,0.8013,0.9680,0.7074,0.9680,0.7123
