epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1
1,2.4009,2.3968,0.0965,0.0974,0.0913,0.0095,0.0965,0.0974,0.0715,0.0173
2,2.3968,2.3966,0.0973,0.0974,0.0190,0.0095,0.0973,0.0974,0.0312,0.0173
3,2.3969,2.3966,0.0966,0.0974,0.0188,0.0095,0.0966,0.0974,0.0315,0.0173
4,2.3995,2.3966,0.0963,0.0974,0.0808,0.0095,0.0963,0.0974,0.0322,0.0173
5,2.3968,2.3966,0.0979,0.0974,0.0191,0.0095,0.0979,0.0974,0.0319,0.0173
6,2.3968,2.3966,0.0969,0.0974,0.0188,0.0095,0.0969,0.0974,0.0313,0.0173
7,2.3968,2.3966,0.0968,0.0974,0.0284,0.0095,0.0968,0.0974,0.0317,0.0173
8,2.3968,2.3966,0.0953,0.0974,0.0185,0.0095,0.0953,0.0974,0.0309,0.0173
9,2.3973,2.3966,0.0983,0.0974,0.0654,0.0095,0.0983,0.0974,0.0323,0.0173
10,2.3968,2.3967,0.0967,0.0974,0.0271,0.0095,0.0967,0.0974,0.0362,0.0173
