epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1
1,0.9909,0.3873,0.6542,0.9014,0.6510,0.9076,0.6542,0.9014,0.6521,0.9023
2,0.3906,0.2984,0.8766,0.9280,0.8765,0.9322,0.8766,0.9280,0.8765,0.9284
3,0.2971,0.3260,0.9076,0.9201,0.9075,0.9229,0.9076,0.9201,0.9075,0.9203
4,0.2586,0.3032,0.9205,0.9278,0.9204,0.9336,0.9205,0.9278,0.9204,0.9284
5,0.2284,0.2668,0.9308,0.9491,0.9308,0.9522,0.9308,0.9491,0.9308,0.9495
6,0.2101,0.3536,0.9358,0.9441,0.9358,0.9470,0.9358,0.9441,0.9358,0.9442
7,0.1980,0.4147,0.9405,0.9440,0.9406,0.9484,0.9405,0.9440,0.9405,0.9445
8,0.1882,0.3206,0.9442,0.9396,0.9443,0.9433,0.9442,0.9396,0.9442,0.9398
9,0.1759,0.2547,0.9480,0.9466,0.9481,0.9490,0.9480,0.9466,0.9480,0.9467
10,0.1737,0.3503,0.9489,0.9454,0.9490,0.9472,0.9489,0.9454,0.9490,0.9455
11,0.1605,0.3005,0.9533,0.9512,0.9534,0.9531,0.9533,0.9512,0.9533,0.9512
12,0.1567,0.4020,0.9537,0.9402,0.9538,0.9422,0.9537,0.9402,0.9537,0.9402
13,0.1555,0.4521,0.9558,0.9300,0.9559,0.9335,0.9558,0.9300,0.9558,0.9301
14,0.1504,0.3379,0.9558,0.9492,0.9559,0.9524,0.9558,0.9492,0.9559,0.9494
