epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1
1,0.4369,0.2271,0.8580,0.9298,0.8579,0.9355,0.8580,0.9298,0.8578,0.9303
2,0.1977,0.1157,0.9378,0.9642,0.9378,0.9645,0.9378,0.9642,0.9378,0.9643
3,0.1578,0.1024,0.9497,0.9692,0.9497,0.9697,0.9497,0.9692,0.9497,0.9691
4,0.1366,0.0961,0.9569,0.9725,0.9569,0.9728,0.9569,0.9725,0.9569,0.9725
5,0.1162,0.0818,0.9641,0.9744,0.9641,0.9746,0.9641,0.9744,0.9641,0.9744
6,0.1059,0.0859,0.9679,0.9758,0.9679,0.9760,0.9679,0.9758,0.9679,0.9758
7,0.0962,0.0958,0.9709,0.9722,0.9710,0.9726,0.9709,0.9722,0.9709,0.9722
8,0.0910,0.1038,0.9719,0.9718,0.9719,0.9724,0.9719,0.9718,0.9719,0.9718
9,0.0822,0.0768,0.9748,0.9791,0.9748,0.9792,0.9748,0.9791,0.9748,0.9791
10,0.0800,0.0740,0.9754,0.9811,0.9754,0.9813,0.9754,0.9811,0.9754,0.9811
11,0.0685,0.0708,0.9792,0.9819,0.9792,0.9821,0.9792,0.9819,0.9792,0.9819
12,0.0696,0.0817,0.9802,0.9790,0.9802,0.9792,0.9802,0.9790,0.9802,0.9790
13,0.0657,0.0934,0.9801,0.9776,0.9801,0.9778,0.9801,0.9776,0.9801,0.9776
14,0.0625,0.0687,0.9813,0.9830,0.9813,0.9831,0.9813,0.9830,0.9813,0.9830
15,0.0597,0.0768,0.9824,0.9801,0.9824,0.9803,0.9824,0.9801,0.9824,0.9801
16,0.0597,0.0771,0.9820,0.9816,0.9820,0.9817,0.9820,0.9816,0.9820,0.9816
17,0.0544,0.0836,0.9840,0.9810,0.9840,0.9811,0.9840,0.9810,0.9840,0.9810
18,0.0504,0.0880,0.9846,0.9808,0.9846,0.9810,0.9846,0.9808,0.9846,0.9808
19,0.0534,0.0888,0.9849,0.9795,0.9849,0.9798,0.9849,0.9795,0.9849,0.9795
