epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1
1,1.4502,0.8946,0.4649,0.7100,0.4543,0.7382,0.4649,0.7100,0.4580,0.7012
2,0.6346,0.3980,0.7887,0.8812,0.7883,0.8929,0.7887,0.8812,0.7883,0.8816
3,0.3952,0.2609,0.8731,0.9188,0.8729,0.9230,0.8731,0.9188,0.8729,0.9190
4,0.3096,0.3320,0.9015,0.8991,0.9015,0.9102,0.9015,0.8991,0.9015,0.8984
5,0.2588,0.1884,0.9186,0.9436,0.9186,0.9455,0.9186,0.9436,0.9186,0.9432
6,0.2211,0.1832,0.9307,0.9482,0.9307,0.9493,0.9307,0.9482,0.9307,0.9480
7,0.2026,0.1557,0.9377,0.9564,0.9377,0.9569,0.9377,0.9564,0.9377,0.9564
8,0.1883,0.2166,0.9422,0.9421,0.9422,0.9456,0.9422,0.9421,0.9422,0.9423
9,0.1719,0.1215,0.9467,0.9628,0.9467,0.9637,0.9467,0.9628,0.9467,0.9628
10,0.1577,0.1370,0.9516,0.9626,0.9516,0.9628,0.9516,0.9626,0.9516,0.9626
11,0.1458,0.1251,0.9559,0.9657,0.9559,0.9662,0.9559,0.9657,0.9559,0.9658
12,0.1392,0.1203,0.9585,0.9653,0.9586,0.9662,0.9585,0.9653,0.9585,0.9652
13,0.1287,0.1011,0.9609,0.9720,0.9609,0.9724,0.9609,0.9720,0.9609,0.9720
14,0.1194,0.1174,0.9635,0.9724,0.9636,0.9727,0.9635,0.9724,0.9635,0.9724
15,0.1140,0.1416,0.9659,0.9614,0.9660,0.9618,0.9659,0.9614,0.9659,0.9613
16,0.1059,0.1005,0.9679,0.9745,0.9680,0.9749,0.9679,0.9745,0.9680,0.9745
17,0.1059,0.1021,0.9693,0.9746,0.9693,0.9750,0.9693,0.9746,0.9693,0.9746
18,0.1027,0.1116,0.9696,0.9737,0.9696,0.9739,0.9696,0.9737,0.9696,0.9736
19,0.0947,0.2224,0.9727,0.9496,0.9727,0.9542,0.9727,0.9496,0.9727,0.9503
20,0.0951,0.0980,0.9728,0.9768,0.9728,0.9770,0.9728,0.9768,0.9728,0.9768
21,0.0903,0.5972,0.9740,0.8817,0.9741,0.8934,0.9740,0.8817,0.9740,0.8817
22,0.0863,0.1119,0.9751,0.9759,0.9751,0.9761,0.9751,0.9759,0.9751,0.9759
23,0.0861,0.1178,0.9754,0.9714,0.9755,0.9723,0.9754,0.9714,0.9754,0.9714
24,0.0898,0.1277,0.9735,0.9683,0.9736,0.9688,0.9735,0.9683,0.9735,0.9683
25,0.0813,0.1289,0.9765,0.9754,0.9765,0.9755,0.9765,0.9754,0.9765,0.9754
