epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1
1,0.5050,0.3773,0.8335,0.8879,0.8329,0.9024,0.8335,0.8879,0.8330,0.8861
2,0.2234,0.3823,0.9288,0.8826,0.9287,0.9027,0.9288,0.8826,0.9287,0.8840
3,0.1748,1.0333,0.9457,0.7848,0.9457,0.8594,0.9457,0.7848,0.9457,0.7907
4,0.1460,0.7137,0.9551,0.8229,0.9551,0.8770,0.9551,0.8229,0.9551,0.8250
5,0.1212,0.2049,0.9622,0.9418,0.9622,0.9446,0.9622,0.9418,0.9622,0.9419
6,0.1119,0.2495,0.9655,0.9368,0.9655,0.9451,0.9655,0.9368,0.9655,0.9380
7,0.0991,0.2865,0.9698,0.9312,0.9698,0.9409,0.9698,0.9312,0.9698,0.9317
8,0.0887,0.1225,0.9720,0.9643,0.9720,0.9648,0.9720,0.9643,0.9720,0.9644
9,0.0837,0.1373,0.9745,0.9606,0.9745,0.9618,0.9745,0.9606,0.9745,0.9606
10,0.0784,0.1272,0.9764,0.9667,0.9764,0.9679,0.9764,0.9667,0.9764,0.9668
11,0.0740,0.1837,0.9768,0.9549,0.9768,0.9573,0.9768,0.9549,0.9768,0.9551
12,0.0674,0.1789,0.9788,0.9596,0.9788,0.9615,0.9788,0.9596,0.9788,0.9597
13,0.0628,0.4958,0.9815,0.8833,0.9815,0.9077,0.9815,0.8833,0.9815,0.8836
