epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1
1,1.6870,1.4876,0.3749,0.4824,0.3621,0.5470,0.3749,0.4824,0.3657,0.4569
2,0.8665,2.2872,0.7109,0.5065,0.7082,0.6526,0.7109,0.5065,0.7091,0.4706
3,0.5177,0.3784,0.8371,0.8811,0.8369,0.8900,0.8371,0.8811,0.8368,0.8815
4,0.3827,0.9393,0.8818,0.7783,0.8817,0.8379,0.8818,0.7783,0.8816,0.7848
5,0.2977,0.2657,0.9085,0.9229,0.9085,0.9251,0.9085,0.9229,0.9084,0.9229
6,0.2493,0.3492,0.9234,0.9038,0.9235,0.9110,0.9234,0.9038,0.9234,0.9045
7,0.2113,0.2022,0.9363,0.9419,0.9363,0.9432,0.9363,0.9419,0.9363,0.9420
8,0.1811,0.4209,0.9447,0.8820,0.9446,0.8926,0.9447,0.8820,0.9446,0.8816
9,0.1542,19.2595,0.9534,0.0914,0.9534,0.0084,0.9534,0.0914,0.9534,0.0153
10,0.1408,0.1653,0.9571,0.9524,0.9571,0.9530,0.9571,0.9524,0.9571,0.9523
11,0.1241,0.2371,0.9617,0.9319,0.9617,0.9350,0.9617,0.9319,0.9617,0.9317
12,0.1058,0.2215,0.9672,0.9456,0.9672,0.9485,0.9672,0.9456,0.9671,0.9455
13,0.0979,0.4499,0.9699,0.8903,0.9699,0.9023,0.9699,0.8903,0.9699,0.8874
14,0.0889,0.6878,0.9733,0.8624,0.9733,0.8847,0.9733,0.8624,0.9733,0.8613
15,0.0778,0.1652,0.9767,0.9567,0.9767,0.9574,0.9767,0.9567,0.9767,0.9568
16,0.0767,0.4412,0.9766,0.8998,0.9766,0.9154,0.9766,0.8998,0.9766,0.9016
17,0.0651,0.3532,0.9806,0.9208,0.9806,0.9275,0.9806,0.9208,0.9806,0.9196
18,0.0630,0.1520,0.9810,0.9593,0.9810,0.9600,0.9810,0.9593,0.9810,0.9594
19,0.0533,0.2324,0.9838,0.9498,0.9838,0.9515,0.9838,0.9498,0.9838,0.9499
20,0.0590,0.1484,0.9823,0.9634,0.9823,0.9639,0.9823,0.9634,0.9823,0.9635
21,0.0485,0.3222,0.9856,0.9352,0.9856,0.9394,0.9856,0.9352,0.9856,0.9352
22,0.0466,0.1361,0.9859,0.9661,0.9859,0.9662,0.9859,0.9661,0.9859,0.9661
23,0.0445,0.1394,0.9863,0.9663,0.9863,0.9666,0.9863,0.9663,0.9863,0.9663
24,0.0406,0.5017,0.9876,0.8952,0.9876,0.9087,0.9876,0.8952,0.9876,0.8957
25,0.0376,0.1541,0.9889,0.9688,0.9889,0.9689,0.9889,0.9688,0.9889,0.9687
26,0.0377,0.3506,0.9884,0.9299,0.9884,0.9338,0.9884,0.9299,0.9884,0.9298
27,0.0354,0.1503,0.9898,0.9686,0.9898,0.9689,0.9898,0.9686,0.9898,0.9686
