epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1
1,0.4065,0.2178,0.8702,0.9319,0.8700,0.9400,0.8702,0.9319,0.8700,0.9327
2,0.1836,0.1799,0.9427,0.9474,0.9427,0.9523,0.9427,0.9474,0.9427,0.9478
3,0.1438,0.1078,0.9550,0.9671,0.9550,0.9683,0.9550,0.9671,0.9550,0.9673
4,0.1244,0.1140,0.9618,0.9651,0.9618,0.9667,0.9618,0.9651,0.9618,0.9653
5,0.1093,0.0837,0.9662,0.9745,0.9662,0.9746,0.9662,0.9745,0.9662,0.9744
6,0.0968,0.0653,0.9696,0.9807,0.9696,0.9808,0.9696,0.9807,0.9696,0.9807
7,0.0900,0.0671,0.9724,0.9803,0.9724,0.9805,0.9724,0.9803,0.9724,0.9803
8,0.0833,0.0790,0.9739,0.9789,0.9739,0.9791,0.9739,0.9789,0.9739,0.9789
9,0.0777,0.0707,0.9761,0.9817,0.9761,0.9818,0.9761,0.9817,0.9761,0.9817
10,0.0713,0.0816,0.9785,0.9774,0.9785,0.9777,0.9785,0.9774,0.9785,0.9774
11,0.0682,0.1049,0.9797,0.9736,0.9797,0.9742,0.9797,0.9736,0.9797,0.9736
