epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1
1,2.1566,2.3979,0.1923,0.2161,0.1917,0.2045,0.1923,0.2161,0.1785,0.1907
2,1.7222,2.1097,0.3522,0.3823,0.3419,0.3400,0.3522,0.3823,0.3342,0.3435
3,1.5580,1.9808,0.4204,0.4285,0.4043,0.4006,0.4204,0.4285,0.4015,0.4002
4,1.4089,1.9588,0.4850,0.4904,0.4712,0.4964,0.4850,0.4904,0.4705,0.4826
5,1.2384,1.8182,0.5529,0.5507,0.5471,0.5589,0.5529,0.5507,0.5463,0.5455
6,1.0774,1.6703,0.6194,0.6053,0.6164,0.6113,0.6194,0.6053,0.6152,0.5966
7,0.9627,1.6464,0.6654,0.6226,0.6633,0.6402,0.6654,0.6226,0.6626,0.6107
8,0.8794,1.5165,0.6966,0.6363,0.6949,0.6677,0.6966,0.6363,0.6944,0.6351
9,0.8035,1.2245,0.7242,0.7035,0.7228,0.7151,0.7242,0.7035,0.7225,0.7009
10,0.7402,1.2817,0.7466,0.7019,0.7454,0.7163,0.7466,0.7019,0.7452,0.6995
11,0.6918,1.2014,0.7640,0.7207,0.7630,0.7481,0.7640,0.7207,0.7630,0.7201
12,0.6436,1.0920,0.7810,0.7387,0.7802,0.7423,0.7810,0.7387,0.7800,0.7359
13,0.6039,1.0369,0.7947,0.7489,0.7940,0.7575,0.7947,0.7489,0.7940,0.7446
14,0.5717,1.0982,0.8051,0.7472,0.8046,0.7522,0.8051,0.7472,0.8045,0.7445
15,0.5403,1.0038,0.8183,0.7585,0.8179,0.7642,0.8183,0.7585,0.8178,0.7562
16,0.5114,1.0139,0.8304,0.7737,0.8300,0.7942,0.8304,0.7737,0.8299,0.7727
17,0.4914,0.9997,0.8359,0.7787,0.8355,0.7972,0.8359,0.7787,0.8354,0.7784
18,0.4645,0.9816,0.8444,0.7790,0.8442,0.8057,0.8444,0.7790,0.8440,0.7749
19,0.4476,0.9162,0.8500,0.7964,0.8499,0.8072,0.8500,0.7964,0.8497,0.7937
20,0.4273,0.9194,0.8579,0.7982,0.8578,0.8104,0.8579,0.7982,0.8577,0.7958
21,0.4060,0.9532,0.8655,0.8100,0.8653,0.8250,0.8655,0.8100,0.8652,0.8100
22,0.3958,0.9967,0.8677,0.7970,0.8675,0.8152,0.8677,0.7970,0.8674,0.7961
23,0.3781,0.7877,0.8749,0.8135,0.8747,0.8195,0.8749,0.8135,0.8746,0.8119
24,0.3579,0.8923,0.8827,0.8228,0.8826,0.8376,0.8827,0.8228,0.8825,0.8200
25,0.3448,0.8506,0.8845,0.8272,0.8844,0.8383,0.8845,0.8272,0.8843,0.8240
26,0.3330,0.7242,0.8899,0.8399,0.8898,0.8467,0.8899,0.8399,0.8898,0.8378
27,0.3264,0.8414,0.8918,0.8303,0.8917,0.8445,0.8918,0.8303,0.8916,0.8283
28,0.3182,0.8003,0.8943,0.8293,0.8943,0.8473,0.8943,0.8293,0.8942,0.8279
29,0.3023,0.7953,0.8991,0.8325,0.8990,0.8415,0.8991,0.8325,0.8989,0.8310
30,0.2912,0.8067,0.9026,0.8366,0.9026,0.8514,0.9026,0.8366,0.9025,0.8364
31,0.2814,0.7595,0.9068,0.8461,0.9068,0.8560,0.9068,0.8461,0.9067,0.8459
