epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1
1,2.1554,1.9506,0.2048,0.3484,0.2137,0.3364,0.2048,0.3484,0.1987,0.3287
2,1.5260,1.5623,0.4568,0.4725,0.4507,0.5022,0.4568,0.4725,0.4482,0.4663
3,1.1673,1.3439,0.5954,0.5895,0.5921,0.6551,0.5954,0.5895,0.5919,0.5844
4,0.9130,0.9412,0.6925,0.7102,0.6907,0.7274,0.6925,0.7102,0.6909,0.7057
5,0.7284,0.7269,0.7578,0.7678,0.7566,0.7774,0.7578,0.7678,0.7568,0.7667
6,0.6075,0.6245,0.7982,0.7993,0.7974,0.8171,0.7982,0.7993,0.7976,0.8003
7,0.5225,0.5356,0.8284,0.8348,0.8278,0.8420,0.8284,0.8348,0.8279,0.8349
8,0.4692,0.5686,0.8454,0.8198,0.8451,0.8340,0.8454,0.8198,0.8452,0.8176
9,0.4218,0.4811,0.8602,0.8513,0.8600,0.8569,0.8602,0.8513,0.8600,0.8510
10,0.3844,0.4026,0.8739,0.8747,0.8736,0.8779,0.8739,0.8747,0.8736,0.8751
11,0.3525,0.3776,0.8833,0.8829,0.8832,0.8870,0.8833,0.8829,0.8832,0.8836
12,0.3251,0.4237,0.8928,0.8714,0.8926,0.8855,0.8928,0.8714,0.8926,0.8725
13,0.3038,0.3491,0.8992,0.8997,0.8990,0.9047,0.8992,0.8997,0.8990,0.9002
14,0.2820,0.3812,0.9066,0.8848,0.9065,0.8916,0.9066,0.8848,0.9065,0.8850
15,0.2615,0.3720,0.9131,0.8889,0.9130,0.8978,0.9131,0.8889,0.9130,0.8887
16,0.2489,0.2843,0.9167,0.9129,0.9166,0.9159,0.9167,0.9129,0.9166,0.9132
17,0.2316,0.2835,0.9240,0.9112,0.9240,0.9126,0.9240,0.9112,0.9240,0.9111
18,0.2219,0.3150,0.9268,0.9091,0.9268,0.9144,0.9268,0.9091,0.9267,0.9098
19,0.2152,0.2646,0.9286,0.9198,0.9285,0.9211,0.9286,0.9198,0.9285,0.9196
20,0.2017,0.3793,0.9338,0.8899,0.9337,0.8978,0.9338,0.8899,0.9337,0.8889
21,0.1931,0.2745,0.9366,0.9209,0.9365,0.9246,0.9366,0.9209,0.9365,0.9213
22,0.1823,0.2518,0.9407,0.9241,0.9407,0.9278,0.9407,0.9241,0.9406,0.9245
23,0.1776,0.3146,0.9407,0.9096,0.9407,0.9177,0.9407,0.9096,0.9407,0.9105
24,0.1686,0.2776,0.9441,0.9203,0.9440,0.9258,0.9441,0.9203,0.9440,0.9209
25,0.1644,0.2821,0.9449,0.9198,0.9448,0.9236,0.9449,0.9198,0.9448,0.9194
26,0.1523,0.3133,0.9485,0.9108,0.9485,0.9168,0.9485,0.9108,0.9485,0.9108
27,0.1494,0.2407,0.9502,0.9325,0.9502,0.9371,0.9502,0.9325,0.9502,0.9332
28,0.1392,0.2901,0.9536,0.9201,0.9535,0.9257,0.9536,0.9201,0.9535,0.9204
29,0.1385,0.2366,0.9527,0.9352,0.9527,0.9373,0.9527,0.9352,0.9527,0.9355
30,0.1318,0.2224,0.9556,0.9394,0.9555,0.9414,0.9556,0.9394,0.9555,0.9394
31,0.1243,0.2762,0.9583,0.9231,0.9582,0.9267,0.9583,0.9231,0.9582,0.9234
32,0.1249,0.2036,0.9575,0.9416,0.9575,0.9427,0.9575,0.9416,0.9575,0.9417
33,0.1228,0.2299,0.9590,0.9374,0.9590,0.9392,0.9590,0.9374,0.9590,0.9376
34,0.1147,0.2404,0.9605,0.9323,0.9605,0.9349,0.9605,0.9323,0.9605,0.9325
35,0.1080,0.2652,0.9629,0.9302,0.9629,0.9336,0.9629,0.9302,0.9629,0.9304
36,0.1106,0.2744,0.9626,0.9303,0.9626,0.9344,0.9626,0.9303,0.9626,0.9307
37,0.1036,0.2257,0.9651,0.9414,0.9651,0.9427,0.9651,0.9414,0.9651,0.9415
