epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1
1,2.2838,2.0888,0.1541,0.2652,0.1624,0.2806,0.1541,0.2652,0.1451,0.2536
2,1.8856,1.9060,0.3197,0.3633,0.3169,0.4045,0.3197,0.3633,0.3144,0.3496
3,1.5277,1.3961,0.4688,0.5610,0.4662,0.5766,0.4688,0.5610,0.4655,0.5534
4,1.2163,1.0957,0.5857,0.6731,0.5833,0.6737,0.5857,0.6731,0.5828,0.6656
5,1.0152,1.0951,0.6585,0.6825,0.6572,0.7164,0.6585,0.6825,0.6570,0.6733
6,0.8608,0.8136,0.7133,0.7605,0.7123,0.7664,0.7133,0.7605,0.7122,0.7580
7,0.7624,0.7403,0.7463,0.7740,0.7456,0.7839,0.7463,0.7740,0.7456,0.7745
8,0.6759,0.7101,0.7791,0.7913,0.7786,0.7993,0.7791,0.7913,0.7785,0.7896
9,0.6132,0.6215,0.7987,0.8127,0.7983,0.8221,0.7987,0.8127,0.7982,0.8102
10,0.5610,0.5509,0.8155,0.8360,0.8152,0.8416,0.8155,0.8360,0.8151,0.8332
11,0.5148,0.5713,0.8324,0.8285,0.8320,0.8423,0.8324,0.8285,0.8320,0.8280
12,0.4804,0.4641,0.8439,0.8610,0.8436,0.8640,0.8439,0.8610,0.8436,0.8611
13,0.4577,0.4880,0.8511,0.8586,0.8509,0.8668,0.8511,0.8586,0.8508,0.8578
14,0.4292,0.5192,0.8606,0.8460,0.8603,0.8630,0.8606,0.8460,0.8603,0.8479
15,0.4130,0.3833,0.8660,0.8804,0.8657,0.8833,0.8660,0.8804,0.8657,0.8808
16,0.3858,0.4596,0.8738,0.8657,0.8736,0.8732,0.8738,0.8657,0.8735,0.8655
17,0.3777,0.4146,0.8766,0.8781,0.8764,0.8820,0.8766,0.8781,0.8763,0.8779
18,0.3640,0.4564,0.8829,0.8731,0.8828,0.8768,0.8829,0.8731,0.8827,0.8732
19,0.3456,0.3399,0.8867,0.8964,0.8865,0.8983,0.8867,0.8964,0.8864,0.8966
20,0.3294,0.4025,0.8943,0.8845,0.8941,0.8930,0.8943,0.8845,0.8940,0.8846
21,0.3255,0.4227,0.8926,0.8814,0.8925,0.8877,0.8926,0.8814,0.8924,0.8815
22,0.3133,0.3566,0.8974,0.8961,0.8972,0.9000,0.8974,0.8961,0.8972,0.8954
23,0.3027,0.3838,0.9006,0.8894,0.9004,0.8943,0.9006,0.8894,0.9004,0.8895
24,0.2932,0.4099,0.9041,0.8892,0.9040,0.8970,0.9041,0.8892,0.9040,0.8888
25,0.2876,0.3747,0.9049,0.8958,0.9048,0.9046,0.9049,0.8958,0.9048,0.8966
26,0.2773,0.3507,0.9104,0.8987,0.9103,0.9043,0.9104,0.8987,0.9103,0.8987
27,0.2722,0.3027,0.9105,0.9107,0.9104,0.9121,0.9105,0.9107,0.9104,0.9106
28,0.2678,0.3480,0.9127,0.9020,0.9125,0.9070,0.9127,0.9020,0.9125,0.9019
29,0.2608,0.3315,0.9143,0.9089,0.9141,0.9110,0.9143,0.9089,0.9141,0.9090
30,0.2512,0.3804,0.9183,0.9044,0.9182,0.9074,0.9183,0.9044,0.9181,0.9043
31,0.2436,0.3841,0.9201,0.8979,0.9200,0.9032,0.9201,0.8979,0.9200,0.8981
32,0.2428,0.3409,0.9199,0.9098,0.9198,0.9134,0.9199,0.9098,0.9198,0.9099
33,0.2350,0.3311,0.9234,0.9081,0.9233,0.9109,0.9234,0.9081,0.9233,0.9085
34,0.2320,0.3318,0.9232,0.9143,0.9232,0.9162,0.9232,0.9143,0.9231,0.9142
35,0.2295,0.3297,0.9247,0.9130,0.9246,0.9161,0.9247,0.9130,0.9246,0.9131
36,0.2184,0.4069,0.9283,0.9018,0.9283,0.9066,0.9283,0.9018,0.9282,0.9011
37,0.2184,0.3328,0.9276,0.9125,0.9275,0.9167,0.9276,0.9125,0.9275,0.9125
